"book","quote"
"goscinny1960nicolas","Nous sommes retournés dans la chambre d’Agnan et là, il m’a montré la mappemonde. C’est une grosse boule en métal, sur laquelle on a peint des mers et des terres. Agnan m’a expliqué que c’était pour apprendre la géographie et où se trouvaient les pays. Ça, je le savais, il y a une mappemonde comme ça à l’école et la maîtresse nous a montré comment ça marche. Agnan m’a dit qu’on pouvait dévisser la mappemonde et alors, ça ressemblait à une grosse balle. Je crois que c’est moi qui ai eu l’idée de jouer avec, ce n’était pas une très bonne idée."
"green2017margo","Impossible de la coicer avec des cartes. Elle était trop petite et l'espace couvert par les cartes, trop grand."
"green2017margo","Je n'arrêtais pas de penser aux cartes, comme je le faisais parfois étant petit, m'imaginant déjà ailleurs ne serait-ce qu'en consultant un atlas. Voilà ce que je devais faire. L'entendre et imaginer comment pénétrer sa carte."
"grossman1980vie","La carte de la guerre, qui était étalée devant le commandant du front à son Q.G. de Krasni Sad, ici grondait et fumait, respirait la vie et la mort. Il croyait reconnaître le pointillé de feu de la première ligne, qu’il avait tracé de sa main ; il croyait reconnaître les flèches des avancées de Paulus vers la Volga, les concentrations des pièces d’artillerie, les centres de la défense qu’il avait entourés de crayons de couleur. Mais quand, dans son Q.G., il regardait la carte étalée sur la table, il se sentait capable d’infléchir, de déplacer la ligne du front, il pouvait obliger l’artillerie lourde sur la rive gauche à se mettre en action. Il s’y sentait le maître."
"grossman1980vie","Les ronds, triangles, losanges devenaient de jour en jour plus nombreux, le réseau de chiffres, les numéros des unités, devenaient de jour en jour plus serrés sur la carte que ne connaissaient que quelques hommes au monde ; c’étaient les nouvelles armées du nouveau groupe d’armées du sud-ouest qui se constituait sur sa base de départ."
"guedj2013theoreme","Il avait déplié une carte immense de l’Amazonie. Une immense étendue verte occupait le lit de Jonathan sur toute sa largeur"
"guedj2013theoreme","Sur quelle carte la route qui menerait au but était-elle tracée ?"
"guez2017disparition","Avellaneda, La Boca, Montserrat, Congreso... une carte dépliée, il se familiarise avec la topographie de Buenos Aires et se sent miniscule devant le damier, une puce insignifiante, lui qui terrorisait tout un royaume il n'y a pas si longtemps."
"harrison1991dalva","Je me suis mise à trembler si fort que je me suis garée près d'un jardin pour regarder ma carte."
"hess1943perles","Ce vieil homme silencieux qui, lorsqu’on le connaissait mieux, pouvait se révéler du tempérament le plus passionné, disposait dans la petite pièce intérieure de la bibliothèque d’une table de travail particulière, toujours couverte de livres, de manuscrits et de cartes géographiques. Dans ce monastère qui possédait des livres sans prix, il avait l’air d’être le seul savant qui travaillât vraiment sérieusement."
"hobb1998assassin","— Loin de Castelcerf ? » répétai-je, abasourdi. J’eus l’impression qu’on ouvrait un rideau. Je n’y avais jamais pensé. Soudain, les routes qui partaient de Castelcerf se mirent à briller dans ma tête et les cartes assommantes que j’avais été obligé d’étudier se remplirent de lieux vivants où je pouvais me rendre. J’en restai confondu."
"houellebecq2010carte","Jed consacra sa vie (du moins sa vie professionnelle, qui devait assez vite se confondre avec l'ensemble de sa vie) à l'art, à la production de représentations du monde, dans lesquelles cependant les gens ne devaient nullement vivre."
"howey2014silo","Plus triste encore, il se voyait lui-même des décennies plus tard, en vieil homme solitaire assis devant cet écran gris, à dessiner non des cartes du ciel mais des paysages."
"howey2014silo","C'était l'homme qui aimait tant cartographier les étoiles qui en était touché."
"howey2014silo","Ils se tenaient tous devant une carte géante tendue au mur comme une tapisserie. Les diagrammes étaient précis, les caractères ornés. On y voyait une série de cercles espacés de façon régulière, séparés par des lignes et remplis de petits détails. Plusieurs d'entre eux étaient barrés de croix rouges."
"hugo1906quatre","Quand il fut sur le sommet, il s’adossa à la pierre milliaire, s’assit sur une des quatre bornes qui en marquaient les angles, et se mit à examiner l’espèce de carte de géographie qu’il avait sous les pieds. Il semblait chercher une route dans un pays d’ailleurs connu. Dans ce vaste paysage, trouble à cause du crépuscule, il n’y avait de précis que l’horizon, noir sur le ciel blanc."
"jaccaud2013nuit","Lucie observait la carte digitale projetée par l'appareil sur le pare-brise ; comme un réseau sanguin tiré d'une image composée par Bourgery. L'un des vingt-quatre satellites qui constituaient le maillage de l'observation globale de la planète relayait les informations dans le GPS avec une autorité que personne n'osait plus contester. Les principaux axes, les routes, les rues et les ruelles s'affichaient en bleu, rouge ou vert suivant l'importance de la saturation."
"jardin1995ile","A en croire le capitaine Renard, une île singulière gisait dans l'hémisphère sud, entre 22°15 et 22°17 de la latitude sud et sur une longitude qu'il est encore prudent de taire."
"jardin1995ile","Cependant, accoudée à la nacelle, Emily se demandait en quoi pouvait bien ressembler ce petit monde de gens réconciliés avec une certaine idée du bonheur accessible, ce territoire mythique absent des cartes, si éloigné de notre Europe qui ne croyait qu'en l'effort, aux beautés du désespoir, à la fatalité de la souffrance et de l'échec amoureux."
"kafka2002lettre","Il m'arrive d'imaginer la carte de la Terre déployée et de t'imaginer étendu transversalement sur toute sa surface."
"kant1781raison","Avant, toutefois, de nous risquer sur cette mer pour l’explorer dans toutes ses dimensions et nous assurer qu’il s’y trouve quelque chose à espérer, il nous sera utile de jeter encore un coup d’œil sur la carte du pays que nous allons quitter, et de nous demander, en premier lieu, si en tout état de cause nous ne pourrions-nous satisfaire de ce qu’il contient, ou même s’il ne faut point, par nécessité, nous en satisfaire, au cas où ne se trouverait nulle part ailleurs aucun sol sur lequel il nous fût possible de nous établir ; ensuite, nous nous demanderons à quel titre nous-mêmes possédons ce pays et parvenons à nous y maintenir contre toutes les prétentions ennemies."
"kessel1955rubis","Les grands voyages ont ceci de merveilleux que leur enchantement commence avant le départ même. On ouvre les atlas, on rêve sur les cartes. On répète les noms magnifiques des villes inconnues."
"kessel1955rubis","Les grands voyages ont ceci de merveilleux que leur enchantement commence avant le départ même. On ouvre les atlas, on rêve sur les cartes. On répète les noms magnifiques des villes inconnues..."
"klee1959journal","Deux lettres et deux cartes sont en route vers le Nord qui ne supposent point de réponse."
"koestler1940zero","Il jeta à la dérobée un regard aux geôliers debout au centre du cercle, qui s’entretenaient avec animation et ne semblaient pas s’intéresser aux prisonniers, puis il retira vivement le carnet et le crayon de la poche de Roubachof et se mit à griffonner quelque chose, en se cachant sous sa couverture en cloche. Il eut bientôt fini, déchira la page, et la mit dans la main de Roubachof ; mais il conserva le crayon et le carnet et continua d’écrire. Roubachof s’assura que les gardes ne les voyaient pas et regarda la page. Rien n’y était écrit, c’était un dessin : une carte du pays où ils se trouvaient, dessinée avec une précision surprenante. On y voyait les villes principales, les montagnes et les fleuves, et un drapeau planté au beau milieu était décoré du symbole de la Révolution."
"leroux1909parfum","M. Darzac avait, près de la saignée du bras droit, une large tache de naissance dont les contours semblaient curieusement suivre le dessin géographique de l’Australie. Mentalement, pendant que le pharmacien opérait, je n’avais pu m’empêcher de placer, sur ce bras, aux endroits qu’elles occupent sur la carte, Melbourne, Sydney, Adélaïde ; et il y avait encore sous cette large tache une autre toute petite tache située dans les environs de la terre dite de Tasmanie."
"londres1930juif","Sortons un peu de nos frontières. Le monde ne tient pas dans la carte de France."
"luciani2010brigade","Pourquoi les cartes météo sont-elles livrées avec des nuages en haut et des soleils en bas ?"
"maupassant1887mont","Le médecin la fit étendre sur un canapé, puis, tirant de sa poche un crayon à trois becs, un noir, un rouge, un bleu, il commença à ausculter et percuter sa nouvelle cliente en criblant le peignoir de petits traits de couleur, notant chaque observation. Elle ressemblait, après un quart d’heure de ce travail, à une carte de géographie indiquant les continents, les mers, les caps, les fleuves, les royaumes et les villes, et portant les noms de toutes ces divisions terrestres, car le docteur écrivait, sur chaque ligne de démarcation, deux ou trois mots latins, compréhensibles pour lui seul."
"mishima1980mer","La peinture s'écaillait sur la coque sombre du <i>Chung Lien</i>. Le rouge vif de l'antirouille dessinait autour de la proue comme une carte aérienne des installations portuaires."
"mishima1980mer","La péninsule d'Ise s'envelissait dans la brume. Un temps, ce ne fut plus la péninsule. C'était le spectre d'une péninsule perdue. Puis, elle disparut tout à fait, devenue terre imaginaire sur la carte."
"mishima1980mer","Ayant consulté la carte, il vit que les endroits qu'il désirait visiter [...] étaient si éloignés l'un de l'autre qu'il en défaillt presque."
"mishima1980mer","Son père acheta une nouvelle et immense carte qu'il fit suspendre au mur de la salle de billard. Il s'attendait, à l'évidence, eveiller de vastes pensées chez Kiyoaki. Toutefois, ces océans plats et sans vie ne reussirent pas à l'enthousismer."
"nothomb2012barbe","Il y a une géographie amoureuse qui vaut les cartographies guerrières."
"orsenna2010entreprise","Qu'est-ce qu'une carte ? Un morceau résumé et pacifié de la Terre. Qu'est-ce qu'un cartographe ? Quelqu'un qui s'arrange pour vivre à l'écart."
"orsenna2010entreprise","Chaque carte est une peau. Comme une peau, elle confère l'identité. Comme une peau, elle est sac ; elle évite que les réalités contenues en elle ne s'évident."
"orwell19501984","Quand on perd tout repère extérieur, la vie elle-même devient floue. On se rappelle certains événements marquants qui n’ont peut-être jamais eu lieu, les détails d’incidents dont l’atmosphère échappe complètement, et puis il y a de longs intervalles vides auxquels rien ne se rattache. Tout était différent, à l’époque. Même le nom des pays, leurs contours sur la carte. La Zone Aérienne Numéro Un, par exemple, s’appelait l’Angleterre, ou peut-être la Grande-Bretagne. Londres, en revanche, il en est à peu près sûr, s’est toujours appelé Londres."
"pagnol1957gloire","Joseph était devenu magnifique. Il avait un costume neuf bleu marine, digne de l'école des Chartreux : ses lunettes, jadis cerclées de fer, brillaient maintenant dans une monture d'or, et leurs verres s'étaient arrondis : enfin, il portait une cravate d'artiste, une ganse noire aux deux bouts pendants. Mais cette prétention était justifiée par le fait qu'il s'était associé à son collègue Arnaud, pour travailler le jeudi et le dimanche matin, à la reproduction des cartes murales de géographie, que les éditions Vidal-Lablache leur payaient jusqu'à cent francs l'une, dans le budget familial, Vidal-Lablache était compté pour vingt-cinq francs par mois, et ce nom double était deux fois béni."
"poe1835pfaall","Il y avait vraisemblablement lieu de supposer que le ballon devait maintenant – 7 avril, quatre heures du matin – avoir atteint une hauteur qui était au moins de 7 254 milles au-dessus du niveau de la mer. Cette élévation peut paraître énorme ; mais l’estime sur laquelle elle était basée donnait très-probablement un résultat bien inférieur à la réalité. En tout cas, j’avais indubitablement sous les yeux la totalité du plus grand diamètre terrestre ; tout l’hémisphère nord s’étendait au-dessous de moi comme une carte en projection orthographique ; et le grand cercle même de l’équateur formait la ligne frontière de mon horizon."
"poe1844lettre","– Il existe, reprit Dupin, un jeu de divination, qu’on joue avec une carte géographique. Un des joueurs prie quelqu’un de deviner un mot donné, un nom de ville, de rivière, d’État ou d’empire, enfin un mot quelconque compris dans l’étendue bigarrée et embrouillée de la carte. Une personne novice dans le jeu cherche en général à embarrasser ses adversaires en leur donnant à deviner des noms écrits en caractères imperceptibles ; mais les adeptes du jeu choisissent des mots en gros caractères qui s’étendent d’un bout de la carte à l’autre. Ces mots-là, comme les enseignes et les affiches à lettres énormes, échappent à l’observateur par le fait même de leur excessive évidence ; et, ici, l’oubli matériel est précisément analogue à l’inattention morale d’un esprit qui laisse échapper les considérations trop palpables, évidentes jusqu’à la banalité et l’importunité."
"pratchett1987fille","Un village se tapissait dans une vallée étroite entre des bois à flanc d’escarpements. Ce n’était pas un grand village, on ne l’aurait pas vu sur une carte des montagnes. On le voyait à peine sur une carte du village. C’était en fait une de ces localités qui n’existent que pour permettre à des gens d’en être originaires. L’univers en est infesté : villages cachés, petites villes balayées par les vents sous des cieux immenses, voire cabanes isolées dans des montagnes glaciales, dont l’histoire retient seulement qu’ils ont été le lieu incroyablement ordinaire où un événement extraordinaire a pris naissance. Souvent il n’y a rien de plus qu’une petite plaque pour signaler que, contre toute vraisemblance gynécologique, un personnage très célèbre a vu le jour à mi-hauteur d’un mur."
"pratchett1990presages","Les géomètres marmonnent souvent dans leur barbe, ils marmonnent des choses comme : « La bretelle de délestage va passer par ici avant qu’on ait eu le temps de dire ouf », ou : « Ça fera trois mètres cinquante, à un poil de cul près. » Mais ces marmonnements-ci étaient d’une tout autre nature. « Nuit d’ébène/ Et lune pleine, marmonnait Anathème, Au sud est/ Et Ouest… Sud Ouest… Ouest Sud Ouest… on y est… » Elle ramassa une carte d’état-major pliée et la plaça dans le faisceau de sa torche. Puis elle produisit une règle en plastique transparent et un crayon et se mit en devoir de tracer un trait sur le plan, interceptant une autre ligne au crayon."
"pratchett1990presages","Pendant ce temps, Rampa avait pris un prospectus sur le comptoir. Il présentait des photos du manoir sur papier glacé, et vantait ses jacuzzis, sa piscine intérieure chauffée ; au dos figurait le genre de cartes dont sont dotés tous les centres de conférences et qui, par un artifice judicieux de l’échelle, suggère que le centre est à portée immédiate de toutes les bretelles d’autoroute du pays, tout en omettant scrupuleusement d’évoquer le dédale de petites routes de campagne qui le cerne complètement à des kilomètres à la ronde."
"pratchett1993sortilege","Lorsque les premiers explorateurs des pays chauds riverains de la mer Circulaire s’aventurèrent dans le froid de l’arrière-pays pour compléter les espaces blancs de leurs cartes, ils sautaient sur le premier indigène venu, désignaient au loin un point de repère, demandaient ce que c’était d’une voix forte et claire et notaient ce que leur répondait l’homme stupéfait. Ainsi restèrent immortalisés dans des générations d’atlas des bizarreries géographiques telles que « Rien-qu’une-Montagne », « Je-Sais-Pas », « Quoi ? » et bien entendu « Ton-Doigt, Crétin »."
"priest1975inverti","Il me montra la carte dessinée sur un long rouleau de papier et m’en expliqua les symboles. Si je comprenais bien, notre tâche consistait à prolonger le relevé vers le nord. Denton avait un instrument sur un grand trépied de bois, avec lequel il effectuait de temps à autre une lecture, notant tout sur la carte."
"proust1925albertine","J’avais souffert une première fois quand s’était individualisé géographiquement le lieu où était Albertine. Quand j’avais appris qu’au lieu d’être dans deux ou trois endroits possibles, elle était en Touraine, ces mots de sa concierge avaient marqué dans mon cœur comme sur une carte la place où il fallait enfin souffrir."
"pujol2018marseille","L'éducateur responsable du programme pouvait localiser chacun sur sa carte et lui envoyer un texto via son ordinateur."
"queneau1868icare","Enfin, en quatrième lieu, ayant donc fait le point, il ne me reste plus que la latitude d'aller me coucher sur la longitude de mon pieu, ce que nous allons faire non sans plaisir."
"rabelais1542gargantua","« Gargantua assis sur le clocher de Tripleville, un pied sur celui d'Ouzouer-le-Marché et l'autre sur celui de Verdes, jouant au bouchon, ayant pour palet la table du dolmen et pour quille ou 'drue' le menhir qui est auprès ». (le tout dans le Loir-et-Cher)"
"rabelais1564cinquieme","L’un d’eux, tenant une mappemonde, la leur enseignait par petits aphorismes ; tous y devenaient clercs et savants en peu d’heures et parlaient de choses qu’il faudrait une vie entière pour connaître, non pas entièrement, mais en minime partie, des Pyramides, du Nil, de Babylone, des Troglodytes, des Pygmées, des Cannibales, de tous les diables, et le tout par ouï-dire. Là, je vis Hérodote, Pline, Solin, Bérose, Philostrate, Méla, Strabon et tant d’autres antiques, Albert-le-Grand, Paul Jove, Jacques Cartier, Marco Polo et je ne sais combien d’autres modernes historiens, écrivant de belles besognes, et le tout par ouï-dire."
"saint1939terre","Et, peu à peu, l'Espagne de ma carte devenait, sous la lampe, un pays de contes de fées. Je balisais d'une croix les refuges et les pièges. Je balisais ce fermier, ces trente moutons, ce ruisseau. Je portais,  à  sa  place  exacte,  cette  bergère  qu'avaient  négligée  les  géographes."
"saint1939terre","Toute la nuit j’ai étudié la carte. Mon travail était inutile, puisque j’ignorais ma position. Mais je me penchais sur tous les signes qui m’indiquaient la présence de l’homme.  Et, quelque part, j’ai découvert un petit cercle surmonté d’une croix semblable.  Je me suis reporté à la légende et j’y ai lu « Établissement religieux. » À côté de la croix j’ai vu un point noir. Je me suis reporté encore à la légende, et j’y ai lu : « Puits permanent. »  J’ai reçu un grand choc au cœur et j’ai relu tout haut : « Puits permanent...  Puits permanent...  Puits permanent ! »  Ali-Baba et ses trésors, est-ce que ça compte en regard d’un puits permanent ?  Un peu plus loin j’ai remarqué deux cercles blancs.  J’ai lu sur la légende : « Puits temporaire. »  C’était déjà moins beau. Puis tout autour il n’y avait plus rien. Rien."
"saint1939terre","Mais quelle étrange leçon de géographie je reçus là ! Guillaumet ne m'enseignait pas l'Espagne ; il me faisait de l'Espagne une amie. Il ne me parlait ni d'hydrographie, ni de populations, ni de cheptel. Il ne me parlait pas de Guadix, mais des trois orangers qui, près de Guadix, bordent un champ : « Méfie-toi d'eux, marque-les sur ta carte... » Et les trois orangers y tenaient désormais plus de place que la Sierra Nevada. Il ne me parlait pas de Lorca, mais d'une simple ferme près de Lorca. D'une ferme vivante. Et de son fermier. Et de sa fermière. Et ce couple prenait, perdu dans l'espace, à quinze cents kilomètres de nous, une importance démesurée. Bien installés sur le versant de leur montagne, pareils à des gardiens de phare, ils étaient prêts, sous leurs étoiles, à porter secours à des hommes."
"silverberg1983chroniques","Il reporta son attention sur les cartes, les examinant en courbant la tête et en plissant les yeux. La fumée grasse qui flottait dans l’air lui faisait monter les larmes aux yeux et lui brouillait la vue et les traits des cartes étaient très fins. Il suivit lentement de sa baguette les courbes de niveau des contreforts au-dessous de Hamifieu, cochant les villages figurant sur ses feuilles de rapports."
"simmons1992echiquier","« Okay, dit-il. Voyons un peu la gueule qu’a ce foutu pays. » Il déroula une carte topographique sur la table, calant ses quatre coins avec le pistolet et les trois chargeurs. Son index se posa sur un groupe de points situés de part et d’autre d’une ligne rouge. « Bayerisch-Eisenstein. Nous sommes ici. » Son doigt se planta deux centimètres plus au nord-ouest. La propriété de Willi est ici, derrière cette colline… — La Grosse Arber, dit Maria Chen. — Peu importe. Ici, en plein milieu de la forêt… — Le Bayerischer Wald », dit Maria Chen. Harod la regarda en silence pendant deux bonnes minutes, puis se repencha sur la carte. « Ça fait partie d’un parc national… mais c’est quand même une propriété privée. N’importe quoi !"
"stevenson1885tresor","Des heures entières, je rêvais de la carte, dont je me rappelais nettement les détails."
"stevenson1885tresor","Et il jeta sur le sol un papier que je reconnus aussitôt : rien de moins que la carte sur papier jauni."
"tchekhov1894moine","Le soleil de midi éclaire une de ces petites villes en surnombre que, selon l’expression du directeur de la prison, on ne peut trouver, même au « télescope », sur aucune carte."
"tesson2016chemins","Il y avait encore une géographie de traverse pour peu qu'on lise les cartes, que l'on accepte le détour et force les passages."
"tolstoi1884guerre","...mais le général autrichien, sans s'arrêter, fronçant le sourcil, fit un geste impératif de la main comme s'il voulait lui dire: «Après, après, vous me ferez vos observations; maintenant suivez sur la carte et écoutez.» Langeron, surpris, leva les yeux au ciel, se tourna en cherchant une explication du côté de Miloradovitch; mais, rencontrant son regard sans expression, il pencha tristement la tête et recommença à faire tourner sa tabatière."
"tsuji2005tokyo","J'étais déconcerté par les effets provoqués par ma carte depuis qu'elle avait échappé à mon contrôle."
"tsuji2005tokyo","Ta carte est un évènement qui va faire date."
"tsuji2005tokyo","Et c'était peut ^etre afin de me questionner moi-même que je m'étais attqué à ce projet de cartographie."
"twain1992mississippi","Quand je suis d'humeur joyeuse, je me sers des méridiens de longitude et des parallèles de latitude comme d'un filet, et je drague les baleines dans l'Atlantique."
"van2012aller","J'ai vu, sur la carte d'état major, que le guide a fait un détour de quarantes kilomètres sur l'itinéraire prévu pour permettre d'admirer la vue."
"van2012aller","Valérie vaque à ses occupations, trace des traits sur les cartes, manie le compas et la boussole pour remédier aux carences de notre homme gris."
"van2012aller","Quand les portes de la camionette se sont refermées, je leur ai demandé une carte de France."
"van2012identite","Il m'a étudié longuement, explorant chaque centimètre carré de mon visage comme s'il cartographiait, à intervalles réguliers, d'impercepibles hochements de tête exprimant une sorte de validation."
"vann2016dernier","Alors c'était difficle de le pousser à s'ouvrir, mais une fois qu'il devenait son ami, il ne cachait plus autant ses cartes - et c'est ce qu'il me reprochait, de toujours cacher mes cartes."
"verne1872tour","Avait-il voyagé ? C'était probable, car personne ne possédait mieux que lui la carte du monde."
"verne1875ile","Quant à l’atlas, c’était un magnifique ouvrage, comprenant les cartes du monde entier et plusieurs planisphères dressés suivant la projection de Mercator, et dont la nomenclature était en français, — mais qui ne portait non plus ni date de publication, ni nom d’éditeur."
"verne1875ile","— Hurrah ! s’écria Pencroff, et ce ne sera pas un petit cadeau que nous ferons là à notre pays ! La colonisation est déjà presque achevée, les noms sont donnés à toutes les parties de l’île, il y a un port naturel, une aiguade, des routes, une ligne télégraphique, un chantier, une usine, et il n’y aura plus qu’à inscrire l’île Lincoln sur les cartes !"
"wells1898guerre","Immédiatement au-dessous de lui, l’aéronaute aurait vu, immense et interminable, le réseau des rues, les maisons, les églises, les squares, les places, les jardins déjà vides, s’étaler comme une immense carte, avec toute la contrée du Sud barbouillée de noir. À la place d’Ealing, de Richmond, de Wimbledon, quelque plume monstrueuse avait laissé tomber une énorme tache d’encre. Incessamment et avec persistance chaque éclaboussure noire croissait et s’étendait, envoyant des ramifications de tous côtés, tantôt se resserrant entre des élévations de terrain, tantôt dégringolant rapidement la pente de quelque vallée nouvelle, de la même façon qu’une tache s’étendrait sur du papier buvard."
"werber2018pandore","Le professeur d’histoire fait glisser son doigt depuis Paris.<br/>– Plus bas, plus à gauche, plus à gauche, plus bas, encore un peu à gauche. C’est là !<br/>René regarde ce qu’il y a sous son index.<br/>– Mais c’est au milieu de l’océan Atlantique !<br/>– Ta carte, tout comme ta connaissance du passé, est incomplète.<br/>René ne peut quitter des yeux l’endroit où Geb est censé vivre.<br/>– Quand même, cela me surprend beaucoup que votre île d’Ha-mem-ptah ne soit pas indiquée sur ma mappemonde. Nos satellites ont détecté toutes les terres émergées. À moins que…"
"werth1992jours","Il nous montre un atlas de poche et sur cet atlas les régions occupées par les troupes allemandes et italiennes. Le trait qu'il dessinait du doigt était à peu près exact. Mais nous ne le savons pas encore et nous croyons que ses chefs l'ont trompé."
"zola1886rome","Mais, comme il se décidait à marcher doucement de long en large, Pierre tomba sur une carte, accrochée au mur, dont la vue l’occupa, l’emplit des pensées les plus vastes au point de lui faire tout oublier. Cette carte, en couleurs, était celle du monde catholique, la terre entière, la mappemonde déroulée, où les diverses teintes indiquaient les territoires, selon qu’ils appartenaient au catholicisme victorieux maître absolu, ou bien au catholicisme toujours en lutte contre les infidèles, et ces derniers pays classés selon l’organisation en vicariats ou en préfectures. N’était-ce pas, graphiquement, tout l’effort séculaire du catholicisme, la domination universelle qu’il a voulue dès la première heure, qu’il n’a cessé de vouloir et de poursuivre à travers les temps ?"
"zweig2013amerigo","La seule exigence d'ordre géographique que ma démonstration impose au lecteur est la suivante : il faut oublier tout ce que lui ont appris les atlas si complets, et qu'il commence par effacer la carte qu'il a dans la tête, la forme, l'allure générale et jusqu'à la présence du continent américain."
